1&;0&;Sensor de Temperatura&;Lazo 1&;4&;I0&;0.0&;300.0&;0&;true&;0.0&;0.0&;0.0
2&;0&;Sensor&;NC&;5&;I1&;0.0&;300.0&;0&;false&;0.0&;0.0&;0.0
3&;0&;NC&;NC&;404&;I2&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
4&;0&;NC&;NC&;404&;I3&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
5&;0&;NC&;NC&;404&;I4&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
6&;0&;NC&;NC&;404&;I5&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
7&;0&;NC&;NC&;404&;I6&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
8&;0&;NC&;NC&;404&;I7&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
9&;1&;PWM&;Controlador del Horno&;8&;O0&;5.0&;0.0&;17&;true&;0.1248&;0.00624&;0.624
10&;1&;Válvula de Gas&;NC&;8&;O1&;1.0&;0.0&;17&;false&;0.1248&;0.00624&;0.624
11&;1&;NC&;NC&;7&;O2&;3.0&;0.0&;17&;false&;0.0&;0.0&;0.0
12&;1&;NC&;NC&;404&;O3&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
13&;1&;NC&;NC&;404&;O4&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
14&;1&;NC&;NC&;7&;O5&;1.0&;0.0&;17&;false&;0.0&;0.0&;0.0
15&;1&;NC&;NC&;404&;O6&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
16&;1&;NC&;NC&;404&;O7&;0.0&;0.0&;17&;false&;0.0&;0.0&;0.0
